Rok,Cislo,Strana,URL
1938,308,4,https://www.ndk.cz/view/uuid:c086d1b0-8356-11dd-99c8-000d606f5dc6?page=uuid:23edb5fd-dfaf-4506-a660-0ff8cfbbef26
1937,418,4,https://www.ndk.cz/view/uuid:b818a150-3731-11dd-9a28-000d606f5dc6?page=uuid:022092ae-15d1-4c4e-a41c-f7e42248e864
1937,344,4,https://www.ndk.cz/view/uuid:4961ccd0-3715-11dd-aec8-000d606f5dc6?page=uuid:7925efc2-caae-4b98-912c-abe6e3bcfc19
1937,485,7,https://www.ndk.cz/view/uuid:77e19db0-3b75-11dd-be7e-000d606f5dc6?page=uuid:d488164f-469d-4505-a95d-24385c324992
1937,337,6,https://www.ndk.cz/view/uuid:e1aaf780-3712-11dd-8141-000d606f5dc6?page=uuid:2a3ba31e-b905-477b-b4b9-616cb7807dcb
1937,153,2,https://www.ndk.cz/view/uuid:99555bb0-3712-11dd-b621-000d606f5dc6?page=uuid:4e8d7611-bcf6-4e78-a27f-45edb542a16f
1937,202,4,https://www.ndk.cz/view/uuid:62b68470-3092-11dd-8b68-000d606f5dc6?page=uuid:e3a9dc17-05ff-4717-b66b-112cca91cd44
1937,227,9,https://www.ndk.cz/view/uuid:4bca8810-3236-11dd-ba36-000d606f5dc6?page=uuid:e4117b54-8cbb-48d8-a2a5-0436db879ae7
1938,360,1,https://www.ndk.cz/view/uuid:c15dc760-48d7-11dd-a082-000d606f5dc6?page=uuid:8793f185-9754-46c0-a613-94550ccd88dc
1938,440,4,https://www.ndk.cz/view/uuid:3ed8e790-79ef-11dd-8e97-000d606f5dc6?page=uuid:042a7638-1f02-4740-b02d-ff2591f6ab33
1938,68,5,https://www.ndk.cz/view/uuid:f761e710-3b94-11dd-93ef-000d606f5dc6?page=uuid:844ebf49-e13b-4b0f-ba39-ff6e725e477c
1938,630,7,https://www.ndk.cz/view/uuid:e0ba6b20-783b-11dd-958f-000d606f5dc6?page=uuid:90c1357c-c979-4f74-b0cd-beb1311428d6
1938,531,2,https://www.ndk.cz/view/uuid:01a7c880-3d1a-11dd-b003-000d606f5dc6?page=uuid:9128cfeb-5112-47eb-b305-f890b5f5eb41
1937,244,7,https://www.ndk.cz/view/uuid:df424d40-3654-11dd-9012-000d606f5dc6?page=uuid:e29702f3-2c38-4625-89ca-9eea57f9d0e2
1937,626,7,https://www.ndk.cz/view/uuid:7d077aa0-37ea-11dd-9fa9-000d606f5dc6?page=uuid:cb44e008-24e2-4536-9e4b-9d941fece74d
1937,512,6,https://www.ndk.cz/view/uuid:0fe3e440-3b87-11dd-8556-000d606f5dc6?page=uuid:60da17ff-cbfd-4245-8681-da6327e00ee3
1937,458,9,https://www.ndk.cz/view/uuid:3d48edf0-38a2-11dd-bb38-000d606f5dc6?page=uuid:dac15e0a-6fea-4678-82b3-8328c808fbb5
1937,429,8,https://www.ndk.cz/view/uuid:2c027ad0-3734-11dd-a784-000d606f5dc6?page=uuid:6cf401dd-be60-4b32-9b23-117f3fcc629d
1938,372,3,https://www.ndk.cz/view/uuid:3d18e6b0-48dc-11dd-943f-000d606f5dc6?page=uuid:56bd464f-8986-49ef-b52d-7ba304460f5e
1938,462,6,https://www.ndk.cz/view/uuid:74948380-7a08-11dd-b7a9-000d606f5dc6?page=uuid:278d788e-e899-4af9-ae01-46948a89447f
1938,476,2,https://www.ndk.cz/view/uuid:83443cb0-7aa6-11dd-a2bf-000d606f5dc6?page=uuid:f1e734c0-c6ec-401f-b747-756622c09dcf
1932,454,1,https://www.ndk.cz/view/uuid:576f59d0-ae0f-11dc-9887-000d606f5dc6?page=uuid:57e2af48-ed2c-4063-ac0f-1a5cb910cafa
1932,356,1,https://www.ndk.cz/view/uuid:b2d466a0-a9a3-11dc-b903-000d606f5dc6?page=uuid:08d7ad3e-dd94-48e4-9e7e-3b85a2d9ee6d
1932,273,12,https://www.ndk.cz/view/uuid:00bff8a0-aca3-11dc-8b42-000d606f5dc6?page=uuid:b1ef73db-31aa-4e24-8521-0c02916e97c7
1931,464,10,https://www.ndk.cz/view/uuid:e8dedc00-be9b-11dc-811a-000d606f5dc6?page=uuid:dcdbb85c-985c-4c3d-892e-a8781ff25604
1932,221,1,https://www.ndk.cz/view/uuid:89d97870-ae36-11dc-8b2e-000d606f5dc6?page=uuid:6ab2b017-d9f4-40a8-aee2-b47111ead08b
1932,337,2,https://www.ndk.cz/view/uuid:d7d51a30-a999-11dc-a8df-000d606f5dc6?page=uuid:f495a7bc-e54e-417c-8ecd-5e414fe878a5
1932,179,1,https://www.ndk.cz/view/uuid:f9572360-ae26-11dc-ad7f-000d606f5dc6?page=uuid:5f070108-7d51-469a-86c1-b7886b979142
1932,649,7,https://www.ndk.cz/view/uuid:f32311d0-ae2f-11dc-975d-000d606f5dc6?page=uuid:0d2c8700-cdc1-4756-9ff2-bb6b3044a19e
1931,604,3,https://www.ndk.cz/view/uuid:fc51d350-ba3b-11dc-90b0-000d606f5dc6?page=uuid:889bc7d3-b1b6-4a49-a0a7-dc1ec3970eab
1931,302,1,https://www.ndk.cz/view/uuid:0fb08a40-aed4-11dc-911e-000d606f5dc6?page=uuid:d8ba0f55-5a0b-4af9-a369-8483d05901e3
1931,535,8,https://www.ndk.cz/view/uuid:a8a754b0-baf3-11dc-8c98-000d606f5dc6?page=uuid:0fc1532c-72ba-4a53-8b6c-beff88d03f4e
1931,615,1,https://www.ndk.cz/view/uuid:d811df10-ba42-11dc-aebb-000d606f5dc6?page=uuid:9441624b-5ad6-4d80-891c-efdeb7759a69
1944,81,4,https://www.ndk.cz/view/uuid:a5902820-7aaa-11dd-8106-000d606f5dc6?page=uuid:4ebe0673-462c-4040-82c2-db5ccfc8b099
1944,207,6,https://www.ndk.cz/view/uuid:a31f7760-7b88-11dd-84cf-000d606f5dc6?page=uuid:4cf297ff-21c7-432f-bd53-fbd58853e275
1944,154,3,https://www.ndk.cz/view/uuid:6a740d80-7b7a-11dd-972c-000d606f5dc6?page=uuid:b0787107-36fc-4499-8572-d24d7a28c4be
1944,40,3,https://www.ndk.cz/view/uuid:c940c3c0-7a9a-11dd-8ec1-000d606f5dc6?page=uuid:f9f81ded-a9cf-4eec-a90a-bd94ead2936b
1944,210,2,https://www.ndk.cz/view/uuid:dabf4900-7b67-11dd-bbeb-000d606f5dc6?page=uuid:4afb2b0e-a2a1-4195-b18d-1e393e2f2e00
1936,397,2,https://www.ndk.cz/view/uuid:611f8ff0-30c2-11dd-96b7-000d606f5dc6?page=uuid:79ba5ec2-4d76-4149-a444-b228d259008f
1936,360,6,https://www.ndk.cz/view/uuid:c4a61620-30d1-11dd-bbe1-000d606f5dc6?page=uuid:5be935f0-ff63-4df8-a33a-cfc21dd86471
1936,559,6,https://www.ndk.cz/view/uuid:d9f84ba0-333e-11dd-adf8-000d606f5dc6?page=uuid:9b0dd8a0-d605-4495-8faf-0692356a0f6e
1936,283,11,https://www.ndk.cz/view/uuid:789dcaf0-2f02-11dd-ade0-000d606f5dc6?page=uuid:f435096e-d3cb-4e67-affc-be00b016040a
1936,378,1,https://www.ndk.cz/view/uuid:f56fd490-30df-11dd-aefd-000d606f5dc6?page=uuid:9f5b31cc-dde9-47cb-af96-ff6dde262439
1936,407,10,https://www.ndk.cz/view/uuid:b9c27db0-30c3-11dd-845a-000d606f5dc6?page=uuid:862a201f-1077-4cfc-85cd-be26a45fb9c5
1936,392,1,https://www.ndk.cz/view/uuid:97673e10-30c1-11dd-8fe0-000d606f5dc6?page=uuid:d805faae-26a4-401c-8a54-4ff95cee8223
1936,646,14,https://www.ndk.cz/view/uuid:be554f00-3623-11dd-a44a-000d606f5dc6?page=uuid:e5a8ef78-99b3-4ae0-bc75-6c0a80bb8860
1936,220,4,https://www.ndk.cz/view/uuid:f63555d0-2e1e-11dd-b274-000d606f5dc6?page=uuid:8472236b-3528-49aa-ad90-ee2ba9702343
1936,253,4,https://www.ndk.cz/view/uuid:1814f5a0-2e49-11dd-9cc4-000d606f5dc6?page=uuid:8a67a6eb-7f54-4e1d-a6cc-fb114f280b7b
1935,214,9,https://www.ndk.cz/view/uuid:bd08fab0-2260-11dd-8c5e-000d606f5dc6?page=uuid:e94acf12-b7fe-4b2f-b65d-791a360f6b70
1936,599,7,https://www.ndk.cz/view/uuid:55de2830-3627-11dd-bcc6-000d606f5dc6?page=uuid:89f31a56-7434-4dba-b379-1706ad4b1e70
1936,456,4,https://www.ndk.cz/view/uuid:069d15a0-36c8-11dd-9e4e-000d606f5dc6?page=uuid:571e954c-dd76-4054-8c25-e7da364babdb
