101,Rok,Cislo,Strana
001580118,1935,513,7
001580120,1935,605,3
001580121,1935,656,7
001580159,1909,251,1
001580160,1909,75,3
001580164,1938,133,9
001580165,1938,140,7
001580170,1919,353,2
001580171,1918,38,1
001580173,1919,334,3
001580174,1928,140,10
001580175,1918,323,1
001580176,1917,217,1
001580183,1947,222,4
001580184,1947,239,7
001580185,1947,242,3
001580186,1947,249,5
001580187,1902,123,2
001580188,1947,287,2
001580189,1947,287,3
001580190,1947,305,2
001580191,1947,322,2
001580192,1947,348,2
001580193,1947,372,2
001580194,1947,460,2
001580195,1947,507,7
001580196,1947,517,2
001580197,1947,541,5
001580198,1947,541,1
001580199,1947,551,7
001580200,1947,597,2
001580201,1947,601,7
001580210,1948,493,3
001580211,1938,588,10
001580212,1938,600,2
001580218,1938,607,1
001580252,1947,157,4
001580254,1947,22,2
001580255,1947,78,2
001580256,1947,63,5
001580257,1947,165,3
001580275,1947,626,6
001580281,1919,354,17
001580282,1918,353,97
001580286,1918,353,97
001580306,1918,179,1
001580307,1918,83,2
001580319,1948,573,5
001580321,1948,233,7
001580322,1948,296,7
001580323,1948,27,7
001580335,1941,561,9
001580336,1941,176,9
001580341,1929,476,7
001580356,1941,518,10
001580366,1936,175,2
001580376,1938,577,5
001580381,1941,213,11
001580393,1941,33,9
001580394,1941,78,10
001580395,1941,81,9
001580400,1941,83,7
001580430,1928,622,9
001580432,1918,295,2
001580434,1939,414,9
001580495,1920,324,6
001580496,1946,357,7
001580497,1946,393,9
001580498,1946,509,1
001580502,1946,4,3
001580503,1946,53,5
001580504,1944,45,10
001580534,1936,606,7
001580541,1947,91,10
001580542,1945,312,2
001580543,1945,294,3
001580544,1941,591,10
001580545,1937,327,19
001580546,1936,610,9
001580547,1936,573,18
001580564,1942,472,2
001580565,1928,185,9
001580593,1949,73,4
001580597,1939,451,9
001580598,1939,451,9
001580612,1943,653,2
001580654,1947,157,4
001580717,1952,342,4
001580748,1936,286,7
001580749,1936,254,9
001580781,1943,565,9
001580804,1938,66,9
001580805,1938,163,9
001580821,1935,579,7
001580823,1936,608,7
001580827,1938,477,10
001580837,1948,195,7
001581036,1909,24,3
001581039,1909,35,1
001581115,1944,638,5
001581118,1935,500,7
001581158,1901,62,3
001581226,1935,658,10
001581234,1938,25,9
001581235,1938,33,9
001581241,1939,488,9
001581243,1941,578,9
001581244,1941,587,9
001581245,1942,630,9
001581247,1902,212,3
001581259,1947,543,10
001581287,1945,250,3
001581336,1929,491,7
001581383,1944,587,2
001581384,1945,181,5
001581388,1947,284,7
001581421,1934,526,2
001581444,1947,139,3
001581445,1947,150,2
001581446,1947,72,2
001581539,1919,63,2
001581540,1945,140,7
001581541,1949,287,7
001581542,1945,370,3
001581562,1936,227,7
001581575,1947,27,4
001581683,1947,610,2
001581718,1909,173,3
001581733,1947,302,6
001581814,1941,120,2
001581815,1941,401,3
001581816,1944,637,5
001581822,1943,571,1
001581824,1946,61,7
001582162,1936,89,7
001582164,1937,624,9
001582165,1938,374,7
001582166,1939,553,9
001582167,1940,181,10
001582168,1943,237,9
001582169,1943,297,7
001582170,1946,100,7
001582188,1935,100,7
001582205,1938,359,9
001582223,1936,216,7
001582224,1936,74,7
001582226,1939,401,9
001582227,1937,303,7
001582228,1943,358,9
001582230,1941,621,9
001582231,1944,500,9
001582326,1938,31,9
001582328,1946,304,7
001582361,1929,328,7
001582362,1935,594,7
001582377,1936,364,7
001582389,1948,574,3
001582515,1941,470,4
001582516,1943,1,2
001582690,1935,259,9
001582691,1935,383,7
001582692,1935,491,7
001582693,1938,96,7
001582694,1938,379,7
001582695,1947,59,7
001582696,1946,4,7
001582697,1947,359,7
001582730,1943,625,9
001582818,1935,656,7
001582819,1936,302,7
001582822,1939,318,9
001582823,1941,615,10
001582825,1943,20,7
001582828,1943,608,9
001582830,1944,358,9
001582831,1944,61,9
001582833,1946,621,7
001582834,1946,322,7
001582836,1948,313,9
001582841,1947,579,7
001582845,1936,345,7
001582869,1946,304,7
001582871,1947,202,8
001582882,1937,381,9
001582883,1946,239,7
001582890,1909,65,2
001582913,1919,320,1
001582979,1939,227,7
001583095,1919,29,1
001583096,1919,36,1
001583101,1952,161,4
001583109,1945,112,9
001583110,1946,387,7
001583187,1928,549,9
001583192,1945,609,7
001583193,1948,98,7
001583194,1948,138,9
001583196,1948,233,7
001583215,1909,85,2
001583216,1909,252,4
001583217,1909,112,1
001583319,1945,385,385
001583320,1940,118,9
001583323,1937,405,7
001583325,1947,555,10
001583329,1943,468,9
001583330,1943,174,9
001583331,1943,544,9
001583333,1946,418,9
001583336,1946,288,7
001583340,1935,172,7
001583342,1938,330,1
001583344,1918,203,1
001583348,1942,43,9
001583352,1946,13,9
001583353,1902,115,3
001583354,1948,120,7
001583355,1948,311,7
001583363,1928,156,9
001583364,1928,452,5
001583365,1928,635,9
001583395,1936,52,8
001583396,1936,212,7
001583397,1936,334,9
001583398,1937,655,7
001583399,1938,250,7
001583400,1939,418,9
001583401,1941,213,11
001583402,1941,362,7
001583403,1941,18,9
001583405,1943,207,9
001583406,1943,42,7
001583407,1944,241,9
001583408,1945,186,9
001583409,1945,195,2
001583410,1945,410,7
001583411,1946,20,7
001583412,1946,423,7
001583413,1947,35,7
001583414,1947,419,7
001583415,1942,175,9
001583419,1947,617,2
001583426,1947,645,9
001583441,1935,107,5
001583477,1946,594,7
001583524,1948,313,9
001583525,1946,24,7
001583526,1947,651,7
001583527,1946,464,7
001583528,1948,72,7
001583649,1928,136,10
001583765,1946,288,7
001583825,1945,523,7
001583846,1918,127,1
001583847,1924,234,1
001583848,1924,351,1
001583908,1938,200,5
001583933,1946,592,7
001583934,1946,327,7
001583935,1938,467,9
001583936,1935,126,7
001583958,1924,54,2
001583959,1925,32,2
001583961,1938,55,9
001583962,1941,652,9
001583963,1941,48,9
001583964,1943,48,9
001583965,1944,332,9
001583966,1945,264,7
001583967,1945,349,7
001583968,1948,285,7
001583973,1909,15,6
001583978,1944,82,9
001583979,1944,343,9
001583980,1946,8,7
001583981,1946,385,7
001583982,1939,490,9
001583990,1938,503,9
001583991,1947,513,7
001583992,1947,346,7
001583993,1942,188,10
001583994,1948,87,9
001583995,1948,38,7
001583996,1948,7,7
001583997,1948,370,7
001583998,1948,283,7
001583999,1948,141,7
001584004,1939,535,9
001584009,1943,612,10
001584051,1942,539,7
001584059,1936,612,9
001584088,1943,142,12
001584170,1919,287,2
001584180,1939,533,10
001584289,1944,651,3
001584291,1944,653,2
001584292,1945,34,9
001584293,1945,62,9
001584294,1947,81,2
001584318,1943,79,9
001584319,1943,455,9
001584333,1945,45,7
001584349,1939,643,9
001584352,1947,37,2
001584371,1938,37,1
001584419,1938,271,5
001584430,1946,33,7
001584446,1938,26,2
001584451,1917,7,4
001584458,1930,423,7
001584461,1935,100,7
001584463,1934,340,7
001584468,1941,618,1
001584469,1938,170,7
001584475,1941,322,9
001584480,1935,22,7
001584484,1939,542,7
001584499,1919,115,1
001584525,1929,575,7
001584541,1942,95,7
001584543,1933,541,7
001584546,1935,515,7
001584547,1935,459,7
001584548,1935,373,7
001584549,1935,50,7
001584573,1944,651,7
001584574,1938,21,9
001584601,1947,374,2
001584610,1931,10,7
001584611,1919,305,2
001584615,1935,634,2
001584616,1935,637,2
001584617,1935,636,3
001584618,1935,623,3
001584619,1935,603,2
001584620,1935,604,1
001584635,1939,83,1
001584676,1947,40,3
001584678,1947,18,7
001584681,1939,465,2
001584703,1946,235,7
001584709,1939,344,9
001584720,1944,156,9
001584749,1947,549,6
001584754,1947,622,6
001584859,1945,395,5
001584922,1943,94,9
001584927,1947,61,7
001584936,1929,626,7
001584972,1948,259,7
001584973,1947,464,7
001584974,1948,482,9
001584978,1945,475,9
001585005,1934,545,10
001585012,1935,645,7
001585034,1948,602,7
001585036,1945,619,7
001585038,1945,528,7
001585043,1948,482,9
001585051,1937,389,9
001585054,1935,607,7
001585146,1936,507,7
001585151,1903,24,3
001585165,1939,566,7
001585336,1939,316,9
001585337,1939,446,9
001585441,1929,496,7
001585460,1909,169,3
001585478,1947,383,2
001585529,1939,331,7
001585578,1940,371,7
001585632,1917,1,4
001585654,1950,138,7
001585656,1950,29,7
001585659,1949,85,9
001585661,1949,8,4
001585662,1948,626,4
001585673,1948,565,7
001585674,1948,564,3
001585675,1948,658,7
001585676,1948,138,9
001585677,1948,189,4
001585678,1948,201,9
001585679,1948,238,4
001585680,1948,326,9
001585681,1948,127,4
001585682,1948,80,3
001585683,1948,1,2
001585684,1947,198,7
001585685,1946,606,2
001585686,1946,586,4
001585687,1946,559,9
001585688,1947,233,7
001585689,1947,290,4
001585690,1947,553,7
001585691,1951,22,4
001585692,1948,496,4
001585693,1948,508,9
001585694,1947,26,9
001585695,1947,53,4
001585696,1947,55,7
001585697,1947,83,7
001585698,1947,137,7
001585700,1946,40,6
001585701,1946,50,7
001585702,1946,74,7
001585703,1946,549,2
001585704,1946,558,2
001585717,1946,224,7
001585718,1946,239,7
001585775,1950,516,4
001585776,1949,218,7
001585777,1948,498,7
001585778,1947,392,7
001585779,1947,568,9
001585780,1928,578,9
001585819,1936,338,7
001585827,1937,547,9
001585833,1943,187,9
001585834,1943,204,9
001585835,1943,356,7
001585836,1943,413,2
001585841,1943,625,9
001585888,1936,345,7
001585918,1933,359,7
001585944,1909,226,7
001585956,1918,254,2
001585959,1948,135,7
001585960,1942,184,7
001585974,1947,277,10
001585975,1947,421,7
001585976,1947,551,7
001585977,1940,1,9
001585978,1909,113,2
001585979,1909,112,3
001585980,1940,469,7
001586001,1947,146,3
001586019,1941,450,9
001586046,1946,102,7
001586052,1943,9,10
001586053,1943,318,7
001586054,1943,552,9
001586060,1945,127,7
001586068,1946,462,9
001586072,1943,79,9
001586073,1948,517,7
001586084,1948,81,7
001586085,1948,495,9
001586086,1943,524,9
001586087,1945,47,9
001586088,1946,85,7
001586092,1904,51,2
001586094,1938,159,5
001586120,1941,488,9
001586125,1944,330,9
001586128,1943,22,9
001586131,1945,2,7
001586162,1919,73,4
001586165,1918,11,2
001586193,1944,224,2
001586303,1924,74,1
001586305,1939,418,1
001586320,1937,527,9
001586321,1943,407,7
001586324,1947,139,6
001586325,1943,565,9
001586338,1936,652,8
001586363,1941,450,2
001586390,1947,1,7
001586392,1944,473,9
001586399,1941,224,7
001586400,1941,615,3
001586401,1941,593,16
001586402,1941,441,10
001586403,1941,376,5
001586406,1941,1,1
001586408,1941,1,48
001586410,1938,503,7
001586413,1941,1,38
001586414,1946,513,2
001586415,1938,120,13
001586416,1944,646,12
001586417,1944,612,7
001586418,1944,591,5
001586420,1938,385,9
001586421,1938,316,6
001586422,1938,306,2
001586423,1938,57,7
001586424,1939,634,1
001586425,1939,634,4
001586426,1939,636,1
001586427,1939,647,1
001586428,1939,383,7
001586429,1947,607,7
001586440,1943,129,9
001586443,1945,564,7
001586459,1935,109,7
001586460,1935,368,7
001586464,1942,650,7
001586465,1942,590,9
001586466,1942,533,9
001586467,1942,284,9
001586468,1947,264,7
001586469,1947,422,3
001586484,1939,357,9
001586485,1939,364,9
001586486,1939,575,9
001586487,1938,66,9
001586489,1940,608,9
001586498,1942,173,9
001586499,1942,117,9
001586516,1943,569,9
001586517,1936,156,7
001586534,1943,544,9
001586556,1945,384,7
001586557,1945,378,4
001586562,1940,263,9
001586563,1936,265,7
001586564,1936,377,9
001586630,1946,296,3
001586631,1944,106,9
001586632,1944,352,7
001586647,1946,618,7
001586648,1946,8,7
001586649,1946,528,6
001586650,1946,246,2
001586651,1944,615,9
001586674,1938,536,9
001586677,1941,65,10
001586680,1947,12,2
001586684,1929,624,7
001586691,1941,354,7
001586693,1941,583,9
001586694,1941,122,9
001586695,1941,295,9
001586702,1919,82,1
001586734,1910,238,1
001586790,1945,116,8
001586797,1945,656,7
001586825,1909,58,5
001586841,1945,3,3
001586872,1933,103,7
001586890,1937,60,9
001586891,1937,486,10
001586917,1948,333,7
001586918,1947,507,7
001586919,1946,603,7
