,101,Rok,Cislo,Strana,URL
0,1580173,1919,334.0,3.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-8995-000d606f5dc6?page=uuid:bcf99f92-df78-4f09-a5c1-cf887f470cae
1,1588811,1919,334.0,3.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-8995-000d606f5dc6?page=uuid:bcf99f92-df78-4f09-a5c1-cf887f470cae
2,1580212,1938,600.0,2.0,https://www.ndk.cz/view/uuid:db9eba50-75c6-11dd-a482-000d606f5dc6?page=uuid:43f2c348-97ea-446d-a317-fca6e1de976a
3,1580306,1918,179.0,1.0,https://www.ndk.cz/view/uuid:25746670-61e6-11dc-b0c1-000d606f5dc6?page=uuid:3a69ed52-88e3-4eef-a12a-6aab70d65093
4,1580336,1941,176.0,9.0,https://www.ndk.cz/view/uuid:cff8a310-6f53-11dd-b0bb-000d606f5dc6?page=uuid:46f45df9-3201-48bc-b8be-55883acd011a
5,1580366,1936,175.0,2.0,https://www.ndk.cz/view/uuid:60013ba0-2d75-11dd-b402-000d606f5dc6?page=uuid:0096da3a-0b9f-49f5-b518-91fdda53d367
6,1580376,1938,577.0,5.0,https://www.ndk.cz/view/uuid:27643ea0-75be-11dd-a011-000d606f5dc6?page=uuid:2dac914b-a607-45e7-8a96-151b745a6e98
7,1580393,1941,33.0,9.0,https://www.ndk.cz/view/uuid:7ab519d0-493b-11dd-a730-000d606f5dc6?page=uuid:fdfe7799-7279-4caf-9dd0-56ce30985167
8,1580827,1938,477.0,10.0,https://www.ndk.cz/view/uuid:8d42ada0-7aa6-11dd-8fdc-000d606f5dc6?page=uuid:3bc97216-51dd-4ade-8e45-c186b9d49aa9
9,1581039,1909,35.0,1.0,https://www.ndk.cz/view/uuid:c104a6f7-435d-11dd-b505-00145e5790ea?page=uuid:0e9b195c-fedb-418b-b90c-e37e12a61c33
10,1581718,1909,173.0,3.0,https://www.ndk.cz/view/uuid:c0efbfbb-435d-11dd-b505-00145e5790ea?page=uuid:3a3dc0d5-0c7d-42d2-9968-2f408f15f074
11,1597535,1909,173.0,3.0,https://www.ndk.cz/view/uuid:c0efbfbb-435d-11dd-b505-00145e5790ea?page=uuid:3a3dc0d5-0c7d-42d2-9968-2f408f15f074
12,1581815,1941,401.0,3.0,https://www.ndk.cz/view/uuid:b0543bf0-69f4-11dd-b24a-000d606f5dc6?page=uuid:ce559604-e8dd-4bc4-a02b-c15294352615
13,1582169,1943,297.0,7.0,https://www.ndk.cz/view/uuid:a0de91c0-752a-11dd-a3bd-000d606f5dc6?page=uuid:319d97be-27ab-4b99-85fa-b28d92dbf061
14,1626703,1943,297.0,7.0,https://www.ndk.cz/view/uuid:a0de91c0-752a-11dd-a3bd-000d606f5dc6?page=uuid:319d97be-27ab-4b99-85fa-b28d92dbf061
15,1582227,1937,303.0,7.0,https://www.ndk.cz/view/uuid:10fefd50-370a-11dd-8b07-000d606f5dc6?page=uuid:953156af-cd99-42fd-988d-9e9c4b72f42b
16,1582230,1941,621.0,9.0,https://www.ndk.cz/view/uuid:0a99d600-6a1e-11dd-b8b9-000d606f5dc6?page=uuid:a05e6ef3-504f-4241-b83f-e77f11d00ab5
17,1582230,1941,621.0,9.0,https://www.ndk.cz/view/uuid:293b53e0-6a1e-11dd-8ebb-000d606f5dc6?page=uuid:7044f355-925e-4dd8-9168-d0aec3b8dda6
18,1582516,1943,1.0,2.0,https://www.ndk.cz/view/uuid:3b98c400-6df7-11dd-8cc4-000d606f5dc6?page=uuid:079f1865-18ac-4980-97d5-27ff09cb2b30
19,1582690,1935,259.0,9.0,https://www.ndk.cz/view/uuid:8f8be260-2688-11dd-bd18-000d606f5dc6?page=uuid:6d33f014-0040-4f4f-aa68-f50ca18065d7
20,1582694,1938,379.0,7.0,https://www.ndk.cz/view/uuid:76715a70-48df-11dd-b2f8-000d606f5dc6?page=uuid:3b18d052-056d-46a7-937a-43b4dc6eafe4
21,1590420,1938,379.0,7.0,https://www.ndk.cz/view/uuid:76715a70-48df-11dd-b2f8-000d606f5dc6?page=uuid:3b18d052-056d-46a7-937a-43b4dc6eafe4
22,1582822,1939,318.0,9.0,https://www.ndk.cz/view/uuid:a8fe5900-533b-11dd-b3fd-000d606f5dc6?page=uuid:1c24600c-4c96-4240-971a-4c4c6fd801bb
23,1629357,1939,318.0,9.0,https://www.ndk.cz/view/uuid:a8fe5900-533b-11dd-b3fd-000d606f5dc6?page=uuid:1c24600c-4c96-4240-971a-4c4c6fd801bb
24,1583096,1919,36.0,1.0,https://www.ndk.cz/view/uuid:267f6dd0-61e6-11dc-9199-000d606f5dc6?page=uuid:024cd3c6-8006-407e-9805-a04c407599e8
